sampleId	MSI_score	Group
TCGA-86-A4P8-01	0.3062	MSI-L
TCGA-91-6828-01	0.299	MSS
TCGA-91-6829-01	0.3066	MSI-L
TCGA-91-6830-01	0.3068	MSI-L
TCGA-91-6831-01	0.3197	MSI-L
TCGA-91-6835-01	0.2993	MSS
TCGA-91-6836-01	0.3153	MSI-L
TCGA-91-6840-01	0.2902	MSS
TCGA-91-6847-01	0.3373	MSI-L
TCGA-91-6848-01	0.2978	MSS
TCGA-91-6849-01	0.3012	MSI-L
TCGA-91-7771-01	0.3602	MSI-H
TCGA-91-8496-01	0.3433	MSI-L
TCGA-91-8497-01	0.3523	MSI-H
TCGA-91-8499-01	0.3308	MSI-L
TCGA-91-A4BC-01	0.3357	MSI-L
TCGA-91-A4BD-01	0.3219	MSI-L
TCGA-93-7347-01	0.3343	MSI-L
TCGA-93-7348-01	0.3085	MSI-L
TCGA-93-8067-01	0.3262	MSI-L
TCGA-93-A4JN-01	0.3078	MSI-L
TCGA-93-A4JO-01	0.3048	MSI-L
TCGA-93-A4JP-01	0.2995	MSS
TCGA-93-A4JQ-01	0.3075	MSI-L
TCGA-95-7039-01	0.32	MSI-L
TCGA-95-7043-01	0.3486	MSI-L
TCGA-95-7562-01	0.3409	MSI-L
TCGA-95-7567-01	0.4503	MSI-H
TCGA-95-7944-01	0.3321	MSI-L
TCGA-95-7947-01	0.3598	MSI-H
TCGA-95-7948-01	0.3546	MSI-H
TCGA-95-8039-01	0.3217	MSI-L
TCGA-95-8494-01	0.3051	MSI-L
TCGA-95-A4VK-01	0.3282	MSI-L
TCGA-95-A4VN-01	0.3233	MSI-L
TCGA-95-A4VP-01	0.3285	MSI-L
TCGA-97-7546-01	0.3147	MSI-L
TCGA-97-7547-01	0.3077	MSI-L
TCGA-97-7552-01	0.3059	MSI-L
TCGA-97-7553-01	0.2731	MSS
TCGA-97-7554-01	0.305	MSI-L
TCGA-97-7937-01	0.3257	MSI-L
TCGA-97-7938-01	0.3584	MSI-H
TCGA-97-7941-01	0.3364	MSI-L
TCGA-97-8171-01	0.3261	MSI-L
TCGA-97-8172-01	0.3222	MSI-L
TCGA-97-8174-01	0.3258	MSI-L
TCGA-97-8175-01	0.3039	MSI-L
TCGA-97-8176-01	0.3459	MSI-L
TCGA-97-8177-01	0.3372	MSI-L
TCGA-97-8179-01	0.333	MSI-L
TCGA-97-8547-01	0.3431	MSI-L
TCGA-97-8552-01	0.3635	MSI-H
TCGA-97-A4LX-01	0.3137	MSI-L
TCGA-97-A4M0-01	0.33	MSI-L
TCGA-97-A4M1-01	0.3065	MSI-L
TCGA-97-A4M2-01	0.2987	MSS
TCGA-97-A4M3-01	0.306	MSI-L
TCGA-97-A4M5-01	0.2956	MSS
TCGA-97-A4M6-01	0.3076	MSI-L
TCGA-97-A4M7-01	0.313	MSI-L
TCGA-99-7458-01	0.2904	MSS
TCGA-99-8025-01	0.3262	MSI-L
TCGA-99-8028-01	0.3429	MSI-L
TCGA-99-8032-01	0.3283	MSI-L
TCGA-99-8033-01	0.3357	MSI-L
TCGA-99-AA5R-01	0.3341	MSI-L
TCGA-J2-8192-01	0.3327	MSI-L
TCGA-J2-8194-01	0.313	MSI-L
TCGA-J2-A4AD-01	0.3088	MSI-L
TCGA-J2-A4AE-01	0.3188	MSI-L
TCGA-J2-A4AG-01	0.32	MSI-L
TCGA-L4-A4E5-01	0.3166	MSI-L
TCGA-L4-A4E6-01	0.3258	MSI-L
TCGA-L9-A443-01	0.3265	MSI-L
TCGA-L9-A444-01	0.3278	MSI-L
TCGA-L9-A50W-01	0.3098	MSI-L
TCGA-L9-A5IP-01	0.3419	MSI-L
TCGA-L9-A743-01	0.3215	MSI-L
TCGA-L9-A7SV-01	0.3574	MSI-H
TCGA-L9-A8F4-01	0.3245	MSI-L
TCGA-MN-A4N1-01	0.3314	MSI-L
TCGA-MN-A4N4-01	0.3073	MSI-L
TCGA-MN-A4N5-01	0.3204	MSI-L
TCGA-MP-A4SV-01	0.3118	MSI-L
TCGA-MP-A4SW-01	0.3122	MSI-L
TCGA-MP-A4SY-01	0.3095	MSI-L
TCGA-MP-A4T2-01	0.3179	MSI-L
TCGA-MP-A4T4-01	0.3216	MSI-L
TCGA-MP-A4T6-01	0.3441	MSI-L
TCGA-MP-A4T7-01	0.3288	MSI-L
TCGA-MP-A4T8-01	0.3315	MSI-L
TCGA-MP-A4T9-01	0.307	MSI-L
TCGA-MP-A4TA-01	0.3176	MSI-L
TCGA-MP-A4TC-01	0.3095	MSI-L
TCGA-MP-A4TD-01	0.3054	MSI-L
TCGA-MP-A4TE-01	0.3258	MSI-L
TCGA-MP-A4TF-01	0.3514	MSI-H
TCGA-MP-A4TH-01	0.3143	MSI-L
TCGA-MP-A4TI-01	0.3151	MSI-L
TCGA-MP-A4TJ-01	0.3186	MSI-L
TCGA-MP-A4TK-01	0.31	MSI-L
TCGA-MP-A5C7-01	0.3234	MSI-L
TCGA-NJ-A4YF-01	0.3395	MSI-L
TCGA-NJ-A4YG-01	0.3188	MSI-L
TCGA-NJ-A4YI-01	0.3335	MSI-L
TCGA-NJ-A4YP-01	0.3221	MSI-L
TCGA-NJ-A4YQ-01	0.32	MSI-L
TCGA-NJ-A55A-01	0.3278	MSI-L
TCGA-NJ-A55O-01	0.321	MSI-L
TCGA-NJ-A55R-01	0.3064	MSI-L
TCGA-NJ-A7XG-01	0.3235	MSI-L
TCGA-O1-A52J-01	0.322	MSI-L
TCGA-S2-AA1A-01	0.3278	MSI-L
TCGA-17-Z053-01	0.2798	MSS
TCGA-17-Z025-01	0.259	MSS
TCGA-17-Z002-01	0.2771	MSS
TCGA-17-Z055-01	0.2893	MSS
TCGA-17-Z021-01	0.2784	MSS
TCGA-17-Z000-01	0.3029	MSI-L
TCGA-17-Z057-01	0.295	MSS
TCGA-17-Z061-01	0.2854	MSS
TCGA-17-Z016-01	0.2764	MSS
TCGA-17-Z032-01	0.2772	MSS
TCGA-17-Z023-01	0.2911	MSS
TCGA-17-Z015-01	0.3096	MSI-L
TCGA-17-Z043-01	0.2896	MSS
TCGA-17-Z028-01	0.2933	MSS
TCGA-17-Z005-01	0.2924	MSS
TCGA-17-Z010-01	0.2971	MSS
TCGA-17-Z047-01	0.2801	MSS
TCGA-17-Z020-01	0.2747	MSS
TCGA-17-Z052-01	0.2731	MSS
TCGA-17-Z018-01	0.3053	MSI-L
