Tumor_Sample_Barcode	total	total_perMB	total_perMB_log
TCGA-17-Z036-01A-01W-0746-08	62	1.631578947	0.212608093
TCGA-50-8459-01A-11D-2323-08	62	1.631578947	0.212608093
TCGA-50-6595-01A-12D-1855-08	64	1.684210526	0.226396377
TCGA-17-Z005-01A-01W-0746-08	65	1.710526316	0.23312976
TCGA-69-7764-01A-11D-2167-08	65	1.710526316	0.23312976
TCGA-86-7714-01A-12D-2167-08	65	1.710526316	0.23312976
TCGA-MP-A4T2-01A-11D-A24P-08	65	1.710526316	0.23312976
TCGA-69-8254-01A-11D-2284-08	66	1.736842105	0.239760339
TCGA-62-8398-01A-11D-2323-08	67	1.763157895	0.246291206
TCGA-78-7162-01A-21D-2063-08	67	1.763157895	0.246291206
TCGA-50-5932-01A-11D-1753-08	68	1.789473684	0.252725316
TCGA-55-6971-01A-11D-1945-08	70	1.842105263	0.265314443
TCGA-50-5935-01A-11D-1753-08	71	1.868421053	0.271474752
TCGA-97-7941-01A-11D-2184-08	71	1.868421053	0.271474752
TCGA-71-8520-01A-11D-2393-08	72	1.894736842	0.2775489
TCGA-78-7167-01A-11D-2063-08	72	1.894736842	0.2775489
TCGA-50-5068-01A-01D-1625-08	73	1.921052632	0.283539264
TCGA-55-7728-01A-11D-2184-08	73	1.921052632	0.283539264
TCGA-55-8090-01A-11D-2238-08	74	1.947368421	0.289448123
TCGA-17-Z027-01A-01W-0746-08	75	1.973684211	0.295277667
TCGA-75-6206-01A-11D-1753-08	75	1.973684211	0.295277667
TCGA-95-8039-01A-11D-2238-08	75	1.973684211	0.295277667
TCGA-73-4676-01A-01D-1753-08	76	2	0.301029996
TCGA-95-8494-01A-11D-2323-08	76	2	0.301029996
TCGA-MP-A4TJ-01A-51D-A25L-08	76	2	0.301029996
TCGA-44-6779-01A-11D-1855-08	78	2.052631579	0.312311006
TCGA-67-3774-01A-01W-0928-08	78	2.052631579	0.312311006
TCGA-86-8278-01A-11D-2284-08	78	2.052631579	0.312311006
TCGA-NJ-A55A-01A-11D-A25L-08	78	2.052631579	0.312311006
TCGA-62-A471-01A-12D-A24D-08	82	2.157894737	0.334030256
TCGA-17-Z011-01A-01W-0746-08	83	2.184210526	0.339294496
TCGA-67-3774-01A-01D-1040-01	83	2.184210526	0.339294496
TCGA-78-7633-01A-11D-2063-08	84	2.210526316	0.344495689
TCGA-93-A4JP-01E-01D-A38P-08	84	2.210526316	0.344495689
TCGA-17-Z032-01A-01W-0746-08	85	2.236842105	0.349635329
TCGA-44-6147-01A-31D-A27T-08	85	2.236842105	0.349635329
TCGA-17-Z044-01A-01W-0746-08	86	2.263157895	0.354714855
TCGA-55-8615-01A-11D-2393-08	86	2.263157895	0.354714855
TCGA-67-3773-01A-01D-1040-01	86	2.263157895	0.354714855
TCGA-55-8097-01A-11D-2238-08	87	2.289473684	0.359735656
TCGA-67-6215-01A-11D-1753-08	87	2.289473684	0.359735656
TCGA-50-5044-01A-21D-1855-08	88	2.315789474	0.364699076
TCGA-50-5051-01A-21D-1855-08	88	2.315789474	0.364699076
TCGA-73-7498-01A-12D-2184-08	88	2.315789474	0.364699076
TCGA-78-7153-01A-11D-2036-08	88	2.315789474	0.364699076
TCGA-93-7348-01A-21D-2036-08	89	2.342105263	0.36960641
TCGA-17-Z020-01A-01W-0746-08	90	2.368421053	0.374458913
TCGA-55-7726-01A-11D-2167-08	90	2.368421053	0.374458913
TCGA-78-8655-01A-11D-2393-08	90	2.368421053	0.374458913
