Sample	gene	value	Risk_score	Risk_score_LH
TCGA-05-4389-01	TNFRSF18	6.9983	2.64832238979491	Low
TCGA-05-4389-01	TNFSF4	6.4189	2.64832238979491	Low
TCGA-05-4389-01	CD80	6.2763	2.64832238979491	Low
TCGA-05-4389-01	CD86	8.9384	2.64832238979491	Low
TCGA-05-4389-01	TNFSF9	7.232	2.64832238979491	Low
TCGA-05-4389-01	TNFRSF25	6.6292	2.64832238979491	Low
TCGA-05-4389-01	ADORA2A	7.8614	2.64832238979491	Low
TCGA-05-4389-01	CD70	4.179	2.64832238979491	Low
TCGA-05-4389-01	CD160	2.593	2.64832238979491	Low
TCGA-05-4389-01	LAIR1	10.0559	2.64832238979491	Low
TCGA-05-4389-01	CD200	6.5995	2.64832238979491	Low
TCGA-05-4389-01	HAVCR2	9.5757	2.64832238979491	Low
TCGA-05-4389-01	TNFRSF9	6.7192	2.64832238979491	Low
TCGA-05-4389-01	BTNL2	0	2.64832238979491	Low
TCGA-05-4389-01	TNFRSF8	6.0319	2.64832238979491	Low
TCGA-05-4390-01	LGALS9	8.4839	5.2433059834406	High
TCGA-05-4390-01	CD200R1	2.2726	5.2433059834406	High
TCGA-05-4390-01	LAG3	5.2736	5.2433059834406	High
TCGA-05-4390-01	ICOS	4.0293	5.2433059834406	High
TCGA-05-4390-01	TNFSF15	5.9316	5.2433059834406	High
TCGA-05-4390-01	TIGIT	4.9844	5.2433059834406	High
TCGA-05-4390-01	TNFSF14	2.8849	5.2433059834406	High
TCGA-05-4390-01	CTLA4	5.9011	5.2433059834406	High
TCGA-05-4390-01	CD274	5.8054	5.2433059834406	High
TCGA-05-4390-01	CD276	10.3429	5.2433059834406	High
TCGA-05-4390-01	PDCD1	4.287	5.2433059834406	High
TCGA-05-4390-01	CD48	7.2754	5.2433059834406	High
TCGA-05-4390-01	CD44	11.3438	5.2433059834406	High
TCGA-05-4390-01	ICOSLG	8.8895	5.2433059834406	High
TCGA-05-4390-01	IDO1	6.4037	5.2433059834406	High
TCGA-05-4390-01	CD28	5.4735	5.2433059834406	High
TCGA-05-4390-01	TNFRSF4	6.4571	5.2433059834406	High
TCGA-05-4390-01	NRP1	12.2418	5.2433059834406	High
TCGA-05-4390-01	TNFRSF14	9.6176	5.2433059834406	High
TCGA-05-4390-01	TMIGD2	0.7126	5.2433059834406	High
TCGA-05-4390-01	PDCD1LG2	5.7206	5.2433059834406	High
TCGA-05-4390-01	TNFRSF18	8.3032	5.2433059834406	High
TCGA-05-4390-01	TNFSF4	5.838	5.2433059834406	High
TCGA-05-4390-01	CD80	4.1894	5.2433059834406	High
TCGA-05-4390-01	CD86	8.2914	5.2433059834406	High
TCGA-05-4390-01	TNFSF9	4.3334	5.2433059834406	High
TCGA-05-4390-01	TNFRSF25	7.2146	5.2433059834406	High
TCGA-05-4390-01	ADORA2A	6.5969	5.2433059834406	High
TCGA-05-4390-01	CD70	1.8297	5.2433059834406	High
TCGA-05-4390-01	CD160	1.544	5.2433059834406	High
TCGA-05-4390-01	LAIR1	8.7993	5.2433059834406	High
TCGA-05-4390-01	CD200	7.1447	5.2433059834406	High
TCGA-05-4390-01	HAVCR2	8.3406	5.2433059834406	High
TCGA-05-4390-01	TNFRSF9	4.6224	5.2433059834406	High
TCGA-05-4390-01	BTNL2	0	5.2433059834406	High
TCGA-05-4390-01	TNFRSF8	4.3334	5.2433059834406	High
TCGA-05-4396-01	LGALS9	9.3955	3.52314379294977	High
TCGA-05-4396-01	CD200R1	4.2046	3.52314379294977	High
TCGA-05-4396-01	LAG3	5.0375	3.52314379294977	High
TCGA-05-4396-01	ICOS	4.7429	3.52314379294977	High
TCGA-05-4396-01	TNFSF15	7.7671	3.52314379294977	High
TCGA-05-4396-01	TIGIT	5.63	3.52314379294977	High
TCGA-05-4396-01	TNFSF14	4.144	3.52314379294977	High
TCGA-05-4396-01	CTLA4	4.9693	3.52314379294977	High
TCGA-05-4396-01	CD274	4.6149	3.52314379294977	High
TCGA-05-4396-01	CD276	11.0411	3.52314379294977	High
TCGA-05-4396-01	PDCD1	4.3186	3.52314379294977	High
TCGA-05-4396-01	CD48	6.6375	3.52314379294977	High
TCGA-05-4396-01	CD44	11.3282	3.52314379294977	High
TCGA-05-4396-01	ICOSLG	6.8515	3.52314379294977	High
TCGA-05-4396-01	IDO1	5.9637	3.52314379294977	High
TCGA-05-4396-01	CD28	6.0975	3.52314379294977	High
TCGA-05-4396-01	TNFRSF4	6.2052	3.52314379294977	High
TCGA-05-4396-01	NRP1	10.992	3.52314379294977	High
TCGA-05-4396-01	TNFRSF14	9.3167	3.52314379294977	High
TCGA-05-4396-01	TMIGD2	2.4722	3.52314379294977	High
TCGA-05-4396-01	PDCD1LG2	5.4415	3.52314379294977	High
TCGA-05-4396-01	TNFRSF18	4.8977	3.52314379294977	High
TCGA-05-4396-01	TNFSF4	5.282	3.52314379294977	High
TCGA-05-4396-01	CD80	2.8207	3.52314379294977	High
TCGA-05-4396-01	CD86	6.7019	3.52314379294977	High
TCGA-05-4396-01	TNFSF9	5.0375	3.52314379294977	High
TCGA-05-4396-01	TNFRSF25	6.1134	3.52314379294977	High
TCGA-05-4396-01	ADORA2A	7.3169	3.52314379294977	High
TCGA-05-4396-01	CD70	2.4722	3.52314379294977	High
TCGA-05-4396-01	CD160	3.4404	3.52314379294977	High
TCGA-05-4396-01	LAIR1	7.9551	3.52314379294977	High
TCGA-05-4396-01	CD200	7.1109	3.52314379294977	High
TCGA-05-4396-01	HAVCR2	6.9343	3.52314379294977	High
TCGA-05-4396-01	TNFRSF9	4.4243	3.52314379294977	High
TCGA-05-4396-01	BTNL2	0	3.52314379294977	High
TCGA-05-4396-01	TNFRSF8	3.2234	3.52314379294977	High
TCGA-05-4397-01	LGALS9	12.9187	3.46864591411296	Low
TCGA-05-4397-01	CD200R1	4.7931	3.46864591411296	Low
TCGA-05-4397-01	LAG3	6.7086	3.46864591411296	Low
TCGA-05-4397-01	ICOS	4.5698	3.46864591411296	Low
TCGA-05-4397-01	TNFSF15	4.2055	3.46864591411296	Low
TCGA-05-4397-01	TIGIT	5.1658	3.46864591411296	Low
TCGA-05-4397-01	TNFSF14	1.8681	3.46864591411296	Low
TCGA-05-4397-01	CTLA4	5.5184	3.46864591411296	Low
TCGA-05-4397-01	CD274	5.1835	3.46864591411296	Low
TCGA-05-4397-01	CD276	12.5128	3.46864591411296	Low
TCGA-05-4397-01	PDCD1	4.8605	3.46864591411296	Low
TCGA-05-4397-01	CD48	7.1645	3.46864591411296	Low
TCGA-05-4397-01	CD44	11.6598	3.46864591411296	Low
TCGA-05-4397-01	ICOSLG	8.2291	3.46864591411296	Low
TCGA-05-4397-01	IDO1	9.9674	3.46864591411296	Low
TCGA-05-4397-01	CD28	6.1546	3.46864591411296	Low
TCGA-05-4397-01	TNFRSF4	6.0764	3.46864591411296	Low
TCGA-05-4397-01	NRP1	10.2094	3.46864591411296	Low
TCGA-05-4397-01	TNFRSF14	10.87	3.46864591411296	Low
TCGA-05-4397-01	TMIGD2	2.7053	3.46864591411296	Low
TCGA-05-4397-01	PDCD1LG2	6.9519	3.46864591411296	Low
TCGA-05-4397-01	TNFRSF18	6.1899	3.46864591411296	Low
TCGA-05-4397-01	TNFSF4	5.5115	3.46864591411296	Low
TCGA-05-4397-01	CD80	5.3875	3.46864591411296	Low
TCGA-05-4397-01	CD86	8.4602	3.46864591411296	Low
TCGA-05-4397-01	TNFSF9	5.841	3.46864591411296	Low
TCGA-05-4397-01	TNFRSF25	7.0728	3.46864591411296	Low
TCGA-05-4397-01	ADORA2A	6.4848	3.46864591411296	Low
TCGA-05-4397-01	CD70	5.6825	3.46864591411296	Low
TCGA-05-4397-01	CD160	3.4514	3.46864591411296	Low
TCGA-05-4397-01	LAIR1	10.4294	3.46864591411296	Low
TCGA-05-4397-01	CD200	5.5663	3.46864591411296	Low
TCGA-05-4397-01	HAVCR2	8.8701	3.46864591411296	Low
TCGA-05-4397-01	TNFRSF9	3.422	3.46864591411296	Low
TCGA-05-4397-01	BTNL2	0	3.46864591411296	Low
TCGA-05-4397-01	TNFRSF8	3.422	3.46864591411296	Low
TCGA-05-4398-01	LGALS9	11.189	4.18387005520503	High
TCGA-05-4398-01	CD200R1	6.0825	4.18387005520503	High
TCGA-05-4398-01	LAG3	7.1064	4.18387005520503	High
TCGA-05-4398-01	ICOS	6.2024	4.18387005520503	High
TCGA-05-4398-01	TNFSF15	5.4033	4.18387005520503	High
TCGA-05-4398-01	TIGIT	7.1064	4.18387005520503	High
TCGA-05-4398-01	TNFSF14	3.9808	4.18387005520503	High
TCGA-05-4398-01	CTLA4	6.352	4.18387005520503	High
TCGA-05-4398-01	CD274	9.35	4.18387005520503	High
TCGA-05-4398-01	CD276	11.0984	4.18387005520503	High
TCGA-05-4398-01	PDCD1	6.9038	4.18387005520503	High
TCGA-05-4398-01	CD48	8.9118	4.18387005520503	High
TCGA-05-4398-01	CD44	13.6452	4.18387005520503	High
TCGA-05-4398-01	ICOSLG	9.4593	4.18387005520503	High
TCGA-05-4398-01	IDO1	8.4737	4.18387005520503	High
TCGA-05-4398-01	CD28	6.778	4.18387005520503	High
TCGA-05-4398-01	TNFRSF4	7.5022	4.18387005520503	High
TCGA-05-4398-01	NRP1	12.0618	4.18387005520503	High
TCGA-05-4398-01	TNFRSF14	10.4846	4.18387005520503	High
TCGA-05-4398-01	TMIGD2	3.1423	4.18387005520503	High
TCGA-05-4398-01	PDCD1LG2	7.78	4.18387005520503	High
TCGA-05-4398-01	TNFRSF18	8.4843	4.18387005520503	High
TCGA-05-4398-01	TNFSF4	7.3218	4.18387005520503	High
TCGA-05-4398-01	CD80	6.5625	4.18387005520503	High
TCGA-05-4398-01	CD86	9.4218	4.18387005520503	High
TCGA-05-4398-01	TNFSF9	9.3615	4.18387005520503	High
TCGA-05-4398-01	TNFRSF25	7.3566	4.18387005520503	High
TCGA-05-4398-01	ADORA2A	8.7242	4.18387005520503	High
TCGA-05-4398-01	CD70	7.2576	4.18387005520503	High
TCGA-05-4398-01	CD160	2.6864	4.18387005520503	High
TCGA-05-4398-01	LAIR1	10.1944	4.18387005520503	High
TCGA-05-4398-01	CD200	7.6687	4.18387005520503	High
TCGA-05-4398-01	HAVCR2	9.9565	4.18387005520503	High
TCGA-05-4398-01	TNFRSF9	8.1638	4.18387005520503	High
TCGA-05-4398-01	BTNL2	0.903	4.18387005520503	High
TCGA-05-4398-01	TNFRSF8	5.0899	4.18387005520503	High
TCGA-05-4402-01	LGALS9	11.7367	4.44228164428182	High
TCGA-05-4402-01	CD200R1	4.6921	4.44228164428182	High
TCGA-05-4402-01	LAG3	7.3241	4.44228164428182	High
TCGA-05-4402-01	ICOS	5.11	4.44228164428182	High
TCGA-05-4402-01	TNFSF15	6.3502	4.44228164428182	High
TCGA-05-4402-01	TIGIT	5.8565	4.44228164428182	High
TCGA-05-4402-01	TNFSF14	3.4129	4.44228164428182	High
TCGA-05-4402-01	CTLA4	5.4656	4.44228164428182	High
TCGA-05-4402-01	CD274	5.5497	4.44228164428182	High
TCGA-05-4402-01	CD276	11.4714	4.44228164428182	High
TCGA-05-4402-01	PDCD1	4.5802	4.44228164428182	High
TCGA-05-4402-01	CD48	8.5432	4.44228164428182	High
TCGA-05-4402-01	CD44	12.6344	4.44228164428182	High
TCGA-05-4402-01	ICOSLG	7.939	4.44228164428182	High
TCGA-05-4402-01	IDO1	9.3189	4.44228164428182	High
TCGA-05-4402-01	CD28	7.4843	4.44228164428182	High
TCGA-05-4402-01	TNFRSF4	5.6151	4.44228164428182	High
TCGA-05-4402-01	NRP1	11.3394	4.44228164428182	High
TCGA-05-4402-01	TNFRSF14	10.2487	4.44228164428182	High
TCGA-05-4402-01	TMIGD2	3.1638	4.44228164428182	High
TCGA-05-4402-01	PDCD1LG2	6.3587	4.44228164428182	High
TCGA-05-4402-01	TNFRSF18	5.5121	4.44228164428182	High
TCGA-05-4402-01	TNFSF4	6.564	4.44228164428182	High
TCGA-05-4402-01	CD80	6.0102	4.44228164428182	High
TCGA-05-4402-01	CD86	9.0449	4.44228164428182	High
TCGA-05-4402-01	TNFSF9	4.2732	4.44228164428182	High
TCGA-05-4402-01	TNFRSF25	7.7055	4.44228164428182	High
TCGA-05-4402-01	ADORA2A	6.8858	4.44228164428182	High
TCGA-05-4402-01	CD70	4.4268	4.44228164428182	High
TCGA-05-4402-01	CD160	2.6009	4.44228164428182	High
TCGA-05-4402-01	LAIR1	9.6775	4.44228164428182	High
TCGA-05-4402-01	CD200	6.6392	4.44228164428182	High
TCGA-05-4402-01	HAVCR2	9.4699	4.44228164428182	High
TCGA-05-4402-01	TNFRSF9	5.2447	4.44228164428182	High
TCGA-05-4402-01	BTNL2	1.1416	4.44228164428182	High
TCGA-05-4402-01	TNFRSF8	4.2551	4.44228164428182	High
TCGA-05-4403-01	LGALS9	11.9165	3.52829185758924	High
TCGA-05-4403-01	CD200R1	5.247	3.52829185758924	High
TCGA-05-4403-01	LAG3	5.6657	3.52829185758924	High
TCGA-05-4403-01	ICOS	4.848	3.52829185758924	High
TCGA-05-4403-01	TNFSF15	5.4805	3.52829185758924	High
TCGA-05-4403-01	TIGIT	5.6814	3.52829185758924	High
TCGA-05-4403-01	TNFSF14	2.9396	3.52829185758924	High
TCGA-05-4403-01	CTLA4	4.5727	3.52829185758924	High
TCGA-05-4403-01	CD274	5.5928	3.52829185758924	High
TCGA-05-4403-01	CD276	11.7437	3.52829185758924	High
TCGA-05-4403-01	PDCD1	4.2947	3.52829185758924	High
TCGA-05-4403-01	CD48	9.4086	3.52829185758924	High
TCGA-05-4403-01	CD44	12.9292	3.52829185758924	High
TCGA-05-4403-01	ICOSLG	8.1625	3.52829185758924	High
TCGA-05-4403-01	IDO1	8.2161	3.52829185758924	High
TCGA-05-4403-01	CD28	8.2871	3.52829185758924	High
TCGA-05-4403-01	TNFRSF4	5.5247	3.52829185758924	High
TCGA-05-4403-01	NRP1	11.2735	3.52829185758924	High
TCGA-05-4403-01	TNFRSF14	10.6625	3.52829185758924	High
TCGA-05-4403-01	TMIGD2	3.6641	3.52829185758924	High
TCGA-05-4403-01	PDCD1LG2	6.4597	3.52829185758924	High
TCGA-05-4403-01	TNFRSF18	4.3548	3.52829185758924	High
TCGA-05-4403-01	TNFSF4	5.6257	3.52829185758924	High
TCGA-05-4403-01	CD80	5.7124	3.52829185758924	High
TCGA-05-4403-01	CD86	9.1416	3.52829185758924	High
TCGA-05-4403-01	TNFSF9	6.0395	3.52829185758924	High
TCGA-05-4403-01	TNFRSF25	4.0744	3.52829185758924	High
TCGA-05-4403-01	ADORA2A	8.0804	3.52829185758924	High
TCGA-05-4403-01	CD70	3.6321	3.52829185758924	High
TCGA-05-4403-01	CD160	4.098	3.52829185758924	High
TCGA-05-4403-01	LAIR1	9.2667	3.52829185758924	High
TCGA-05-4403-01	CD200	6.9101	3.52829185758924	High
TCGA-05-4403-01	HAVCR2	9.9108	3.52829185758924	High
TCGA-05-4403-01	TNFRSF9	4.5895	3.52829185758924	High
TCGA-05-4403-01	BTNL2	0	3.52829185758924	High
TCGA-05-4403-01	TNFRSF8	4.0011	3.52829185758924	High
TCGA-05-4405-01	LGALS9	11.7039	3.71267968739802	High
TCGA-05-4405-01	CD200R1	4.9144	3.71267968739802	High
TCGA-05-4405-01	LAG3	6.0137	3.71267968739802	High
TCGA-05-4405-01	ICOS	3.8332	3.71267968739802	High
TCGA-05-4405-01	TNFSF15	6.1546	3.71267968739802	High
TCGA-05-4405-01	TIGIT	4.9144	3.71267968739802	High
TCGA-05-4405-01	TNFSF14	6.8861	3.71267968739802	High
TCGA-05-4405-01	CTLA4	4.5564	3.71267968739802	High
TCGA-05-4405-01	CD274	6.3312	3.71267968739802	High
TCGA-05-4405-01	CD276	11.3276	3.71267968739802	High
TCGA-05-4405-01	PDCD1	5.0065	3.71267968739802	High
TCGA-05-4405-01	CD48	7.8881	3.71267968739802	High
TCGA-05-4405-01	CD44	12.2566	3.71267968739802	High
TCGA-05-4405-01	ICOSLG	8.1015	3.71267968739802	High
TCGA-05-4405-01	IDO1	5.6061	3.71267968739802	High
TCGA-05-4405-01	CD28	5.2769	3.71267968739802	High
TCGA-05-4405-01	TNFRSF4	5.6638	3.71267968739802	High
TCGA-05-4405-01	NRP1	12.9174	3.71267968739802	High
TCGA-05-4405-01	TNFRSF14	9.8509	3.71267968739802	High
TCGA-05-4405-01	TMIGD2	2.4953	3.71267968739802	High
TCGA-05-4405-01	PDCD1LG2	5.6256	3.71267968739802	High
TCGA-05-4405-01	TNFRSF18	7.0963	3.71267968739802	High
TCGA-05-4405-01	TNFSF4	5.6826	3.71267968739802	High
